stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,fsa_stop_id,fsa_stop_routes
25092,World Trade Center,,42.349098,-71.04206,,25092,S
11781,Fields Corner,,42.299992,-71.061516,,11781,R
11788,Forest Hills,,42.300023,-71.113377,,11788,O
14352,Shawmut,,42.293712,-71.065912,,14352,R
25117,306 Northern Way,,42.34769,-71.035882,,25117,S
25093,Design Center,,42.344579,-71.034448,,25093,S
25133,Courthouse,,42.352724,-71.047514,,25133,S
25134,88 Black Falcon Avenue,,42.344105,-71.02724,,25134,S
15412,Wollaston,,42.265972,-71.019721,,15412,R
15415,Wonderland,,42.413963,-70.990986,,15415,B
15417,Airport,,42.372714,-71.03208,,15417,B
24642,Melnea Cass Blvd,,42.332709,-71.081205,,24642,S
25100,Silver Line Way,,42.347928,-71.039287,,25100,S
25168,Terminal B Stop 1,,42.363726,-71.019404,,25168,S
24419,Chinatown,,42.352529,-71.062759,,24419,S
13912,Porter Square,,42.388353,-71.119159,,13912,R
14942,Herald Street,,42.346443,-71.064651,,14942,S
14435,South,,42.352573,-71.055428,,14435,R
14436,South,,42.352573,-71.055428,,14436,S
613,East Berkeley Street,,42.343845,-71.066041,,613,S
15633,Tappan Street,,42.338469,-71.138705,,15633,G
12395,Jackson Square,,42.322893,-71.099787,,12395,O
15481,Ashmont,,42.284219,-71.063229,,15481,R
13946,Quincy Adams,,42.232848,-71.007034,,13946,R
12412,Kendall,,42.362427,-71.086058,,12412,R
10369,Boston College,,42.339902,-71.166124,,10369,G
13443,Tufts Medical Center,,42.349504,-71.063877,,13443,O
14471,State,,42.359065,-71.057421,,14471,O
11913,Revere Beach,,42.408389,-70.99256,,11913,B
14474,Beachmont,,42.39745,-70.992363,,14474,B
11404,Davis,,42.39662,-71.122527,,11404,R
11202,South Street,,42.339455,-71.157622,,11202,G
14486,Aquarium,,42.359634,-71.051807,,14486,B
14490,Sullivan Square,,42.383434,-71.077056,,14490,O
15690,Riverway,,42.331686,-71.112004,,15690,G
13981,Quincy Street,,42.250879,-71.004798,,13981,R
15009,Union Park Street,,42.34136,-71.06955,,15009,S
15011,Newton Street,,42.338754,-71.073783,,15011,S
10919,Central Square,,42.365326,-71.103474,,10919,R
10409,Bowdoin,,42.361457,-71.062129,,10409,B
12975,Malden Center,,42.426678,-71.074144,,12975,O
11952,Green Street,,42.310359,-71.107125,,11952,O
10431,Braintree,,42.20855,-71.00085,,10431,R
11471,Downtown Crossing,,42.355453,-71.060465,,11471,O
11473,Downtown Crossing,,42.355453,-71.060465,,11473,R
11475,21 Dry Dock Avenue,,42.344626,-71.031036,,11475,S
13524,North Quincy,,42.274957,-71.029307,,13524,R
14037,Government Center,,42.359322,-71.059252,,14037,B
15580,Government ,,42.359322,-71.059252,,15580,G
12410,JFK/UMass,,42.321065,-71.052545,,12410,R
15582,Haymarket,,42.363222,-71.057922,,15582,G
15583,North,,42.365551,-71.061251,,15583,G
15585,Science Park,,42.368009,-71.070673,,15585,G
15591,Kenmore,,42.348783,-71.095128,,15591,G
11496,Dudley Square,,42.329379,-71.084266,,11496,S
15593,Copley,,42.349991,-71.077463,,15593,G
15595,Arlington,,42.351847,-71.070817,,15595,G
15596,Boylston Street,,42.352337,-71.06461,,15596,G
15598,Riverside,,42.337394,-71.252327,,15598,G
15601,Waban,,42.325981,-71.230712,,15601,G
15602,Eliot,,42.318744,-71.217023,,15602,G
25331,Terminal B Stop 2,,42.364441,-71.01882,,25331,S
15604,Newton Highlands,,42.321539,-71.205966,,15604,G
15605,Newton Center,,42.328354,-71.194444,,15605,G
15607,Chestnut Hill,,42.326601,-71.16529,,15607,G
15609,Reservoir,,42.334912,-71.149072,,15609,G
15611,Beaconsfield,,42.335805,-71.140849,,15611,G
15614,Brookline Village,,42.332002,-71.118129,,15614,G
15617,Fenway Station,,42.345347,-71.104156,,15617,G
15621,Hawes Street,,42.34487,-71.111129,,15621,G
15623,Kent Street,,42.344125,-71.113885,,15623,G
15624,St. Paul Street,,42.343366,-71.116759,,15624,G
15625,Coolidge Corner,,42.342226,-71.120888,,15625,G
15627,Summit Avenue,,42.340946,-71.125182,,15627,G
15629,Brandon Hall,,42.339683,-71.129327,,15629,G
13073,Massachusetts Avenue,,42.341762,-71.083072,,13073,O
15634,Dean Road,,42.337847,-71.141549,,15634,G
15636,Englewood Avenue,,42.337049,-71.145357,,15636,G
15639,Prudential,,42.345503,-71.081401,,15639,G
15640,Symphony,,42.342919,-71.084529,,15640,G
15642,Northeastern University,,42.340307,-71.088717,,15642,G
15643,Museum of Fine Arts,,42.337732,-71.095125,,15643,G
15645,Longwood Medical Area,,42.335898,-71.100052,,15645,G
15646,Brigham Circle,,42.334268,-71.10437,,15646,G
15648,Fenwood Street,,42.333722,-71.1056
