stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,fsa_stop_id,fsa_stop_routes
1,"W 215 St",,40.869555,-73.915163,,1
2,"W 207 St",,40.86507,-73.918415,,2
3,"Dyckman St",,40.861564,-73.924766,,3
4,"W 191 St",,40.855574,-73.929116,,4
5,"W 181 St",,40.849884,-73.933276,,5
6,"W 168 St - Washington Heights",,40.840926,-73.939507,,6
7,"W 157 St",,40.834143,-73.944819,,7
8,"W 145 St",,40.826606,-73.950331,,8
9,"W 137 St - City College",,40.821459,-73.954062,,9
10,"W 125 St",,40.815636,-73.958296,,10
11,"W 116 St - Columbia University",,40.807928,-73.963919,,11
12,"W 110 St - Cathedral Parkway",,40.804109,-73.966742,,12
13,"W 103 St",,40.799494,-73.968308,,13
14,"W 96 St",,40.793966,-73.97224,,14
15,"W 86 St",,40.788606,-73.976203,,15
16,"W 79 St",,40.783831,-73.980098,,16
17,"W 72 St",,40.778666,-73.981876,,17
18,"W 66 St - Lincoln Center",,40.773463,-73.982193,,18
19,"W 59 St - Columbus Circle",,40.768044,-73.981955,,19
20,"W 50 St",,40.761783,-73.983822,,20
21,"W 42 St - Times Square",,40.75571,-73.986847,,21
22,"W 34 St - Penn Station",,40.750868,-73.990645,,22
23,"W 28 St",,40.747181,-73.993321,,23
24,"W 23 St",,40.744118,-73.99559,,24
25,"W 18 St",,40.741029,-73.997814,,25
26,"W 14 St",,40.738348,-73.999808,,26
27,"Christopher St - Sheridan Square",,40.7336,-74.002769,,27
28,"Houston St",,40.728602,-74.005329,,28
29,"Canal St",,40.72317,-74.006179,,29
30,"Franklin St",,40.719775,-74.006824,,30
31,"Chambers St",,40.716005,-74.008796,,31
32,"Cortlandt St",,40.712165,-74.012134,,32
33,"Rector St",,40.707964,-74.013562,,33
34,"South Ferry",,40.701322,-74.013882,,34
35,"E 148 St - Lenox Terminal",,40.823832,-73.936207,,35
36,"E 145 St",,40.820501,-73.936284,,36
37,"E 135 St",,40.814148,-73.940877,,37
38,"E 125 St",,40.807885,-73.94545,,38
39,"E 116 St",,40.802443,-73.94947,,39
40,"E 110 St - Central Park North",,40.799098,-73.951899,,40
41,"Park Place",,40.713143,-74.008369,,41
42,"Fulton St (2 and 3)",,40.707905,-74.008627,,42
43,"Wall St",,40.706474,-74.009507,,43
50,"E 125 St",,40.804402,-73.937492,,50
51,"E 116 St",,40.798721,-73.941619,,51
52,"E 110 St",,40.795213,-73.944126,,52
53,"E 103 St",,40.790697,-73.947472,,53
54,"E 96 St",,40.785867,-73.95091,,54
55,"E 86 St",,40.779526,-73.955514,,55
56,"E 77 St",,40.773671,-73.959876,,56
57,"E 68 St - Hunter College",,40.768185,-73.963767,,57
58,"E 59 St",,40.762573,-73.967905,,58
59,"E 51 St",,40.757173,-73.971956,,59
60,"E 42 St - Grand Central",,40.752751,-73.977599,,60
61,"E 33 St",,40.746415,-73.981829,,61
62,"E 28 St",,40.743335,-73.984055,,62
63,"E 23 St",,40.740185,-73.986365,,63
64,"E 14 St - Union Square",,40.735259,-73.990624,,64
65,"Astor Place",,40.730634,-73.990565,,65
66,"Bleecker St",,40.726023,-73.994637,,66
67,"Spring St",,40.722318,-73.997117,,67
68,"Canal St",,40.718054,-73.999979,,68
69,"City Hall - Brooklyn Bridge",,40.713556,-74.004153,,69
70,"Fulton St (4 and 5)",,40.710582,-74.007387,,70
71,"Wall St",,40.707743,-74.011652,,71
72,"Bowling Green",,40.705078,-74.013934,,72
73,"Bleecker St",,40.726023,-73.994637,,73
80,"Times Square - Broadway",,40.755742,-73.986783,,80
81,"Fifth Avenue",,40.753467,-73.980904,,81
82,"Grand Central - Lexington Ave",,40.752004,-73.97614,,82
83,"Times Square - Broadway (Shuttle)",,40.75558,-73.986332,,83
84,"Grand Central - Lexington Ave (Shuttle)",,40.752621,-73.977706,,84
95,"W 207 St - Inwood",,40.868108,-73.919736,,95
96,"Dyckman St",,40.861564,-73.924766,,96
97,"W 190 St",,40.858841,-73.934339,,97
98,"W 181 St",,40.852128,-73.937812,,98
99,"W 175 St",,40.847652,-73.939612,,99
100,"Washington Heights - W 168 St",,40.840926,-73.939507,,100
101,"W 163 St - Amsterdam Ave",,40.836164,-73.939974,,101
102,"W 155 St",,40.830874,-73.941342,,102
103,"E 155 Street - Eighth Ave",,40.830335,-73.937979,,103
104,"W 145 Street",,40.82498,-73.944056,,104
105,"W 135 Street",,40.817941,-73.947618,,105
106,"W 125 Street",,40.811296,-73.9522,,106
107,"W 116 Street",,40.805088,-73.954872,,107
108,"W 110 St - Cathedral Parkway",,40.800591,-73.958153,,108
109,"W 103 Street",,40.796185,-73.961448,,109
110,"W 96 Street",,40.791715,-73.964717,,110
111,"W 86 Street",,40.785936,-73.968978,,111
112,"W 81 Street - Museum of Natural History",,40.781504,-73.97225,,112
113,"W 72 Street",,40.776213,-73.975972,,113
114,"W 59 St - Columbus Circle",,40.768044,-73.981955,,114
115,"Lexington Ave - 3rd Ave",,40.757661,-73.969345,,115
116,"Fifth Ave/53rd St",,40.760425,-73.975806,,116
117,"Seventh Ave",,40.762953,-73.981892,,117
118,"W 50 St",,40.762597,-73.985815,,118
119,"W 42 St - Port Authority Bus Terminal",,40.757191,-73.989801,,119
120,"W 34 St - Penn Station",,40.752195,-73.993472,,120
121,"W 23 St",,40.745274,-73.998499,,121
122,"W 14 St",,40.739811,-74.002533,,122
123,"W 4 St - Washington Square",,40.73292,-74.000075,,123
124,"Spring St",,40.72682,-74.003563,,124
125,"Canal St",,40.72317,-74.006179,,125
126,"Chambers St",,40.714629,-74.00815,,126
128,"World Trade Center",,40.714629,-74.00815,,128
129,"Broadway - Nassau St",,40.710582,-74.007387,,129
148,"21 Street - Queensbridge",,40.753621,-73.942198,,148
149,"Roosevelt Island",,40.759198,-73.953033,,149
150,"Lexington Ave - 63 Street",,40.764746,-73.966355,,150
151,"57 Street - 6th Avenue",,40.764026,-73.977391,,151
152,"47-50 Street - Rockefeller Center",,40.758629,-73.981273,,152
153,"W 42 Street - Bryant Park",,40.754227,-73.984614,,153
154,"W 34 Street - Herald Square",,40.749824,-73.98777,,154
155,"W 23 Street",,40.742835,-73.992791,,155
156,"W 14 Street",,40.73734,-73.996868,,156
157,"W 4 Street - Washington Square",,40.73292,-74.000075,,157
158,"Broadway - Lafayette Street",,40.725913,-73.996357,,158
159,"Grand St",,40.718119,-73.993746,,159
160,"Lower East Side - Second Avenue",,40.723418,-73.990255,,160
161,"Delancey Street",,40.718542,-73.988197,,161
162,"East Broadway",,40.714409,-73.990219,,162
